priority,product_id,product_name,variant_id,sku / variant_code,current_image_url,issue_type,grouped_family_key,recommended_asset_name,recommended_action
100,c8f361f9-ee31-43a3-b592-a330b64e7335,Jota 830F Elmas Frez - Kırmızı Kuşak (İnce) Alev (Flame) Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/87989970-f4ea-4714-8f8c-f33012bae4de/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-830,jota-830-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
101,302707c0-9627-45c3-a23a-c2e772112a03,Jota 830G Elmas Frez - Yeşil Kuşak (Kaba) Alev (Flame) Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/caf57a18-69c4-4365-9bad-d7af92cafd91/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-830,jota-830-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
102,ed4e121e-afcc-464b-b384-538d42f98855,Jota 831F Elmas Frez - Kırmızı Kuşak (İnce) Alev / İnce Form Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/4693a18a-de21-48ec-b5d2-8f0465f8482f/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-831,jota-831-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
103,777e38df-d3ee-41ca-9cf9-53f52e4993ac,Jota 833 Elmas Frez - Mavi Kuşak (Standard) Armut / Torpido Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/5796fe27-2932-4dfd-9070-95724db2a4bc/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-833,jota-833-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
104,08fa8160-d80b-4e28-9df9-19ddfc787401,Jota 833EF Elmas Frez - Sarı Extra İnce Armut / Torpido Elmas Frez,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/8a7c999c-1c70-4b10-83f7-b93ec2839468/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-833e,jota-833e-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
105,110fa8c4-2fba-4843-98e7-b3b065e7bc22,Jota 833F Elmas Frez - Kırmızı Kuşak (İnce) Armut / Torpido Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/0939178e-5556-4f96-8f5e-246fe574890f/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-833,jota-833-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
106,fb9e1d56-c036-4f05-8ea9-5433c8397491,Jota 833G Elmas Frez - Yeşil Kuşak (Kaba) Armut / Torpido Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/c877d69a-49e7-4d39-b22b-4a8984f26e69/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-833,jota-833-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
107,c8d6df0a-d813-4b20-8af0-cad3d17e4241,Jota 835 Elmas Frez - Mavi Kuşak (Standard) Silindirik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/73ec5452-ac4f-4e53-9d53-b790d5c69898/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-835,jota-835-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
108,ae4e45da-c009-49f4-8468-dd8f1d94abc6,Jota 837D Elmas Frez - Mavi Kuşak (Standard) Disk Form Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/3002eb55-6596-409e-a594-c3746958d122/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-837d,jota-837d-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
109,21ac9078-022f-4642-8152-4a0f2f7d63ad,Jota 837L Elmas Frez - Mavi Kuşak (Standard) Uzun Silindirik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/6d8a7d2f-a344-49ce-abae-9d36bf789519/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-837l,jota-837l-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
110,9b070322-5a6b-4b53-aaca-f53e33788fdc,Jota 845R Elmas Frez - Mavi Kuşak (Standard) Yuvarlatılmış Uçlu Silindirik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/011386b6-1258-47df-90b6-2532ab48690f/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-845r,jota-845r-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
111,2d57d649-c08d-4144-93c2-cb84e08f6d27,Jota 848 Elmas Frez - Mavi Kuşak (Standard) Konik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/2c027243-1709-45bd-8f5a-6e40b42f8aa3/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-848,jota-848-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
112,55b24753-18d7-4545-a8b0-f5b40977a07b,Jota 851L Elmas Frez - Mavi Kuşak (Standard) Uzun İnce Konik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/a3f22fa0-32df-4ea8-9cb8-80a02d6012bc/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-851l,jota-851l-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
113,9daa6d8d-7952-442b-9d15-3ff17a52bb2e,Jota 852 Elmas Frez - Mavi Kuşak (Standard) İğne / İnce Konik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/dfc64fc3-d63d-4f40-97fb-9ed1e95d3628/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-852,jota-852-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
114,9b8882a4-dcfe-4909-af5e-8bfda695d45f,Jota 852F Elmas Frez - Kırmızı Kuşak (İnce) İğne / İnce Konik Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/583354e0-b3d1-4115-81c3-fd4233e4f436/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-852,jota-852-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
115,bed40a8f-9eef-4d12-874b-a5b23969f1a0,Jota 852G Elmas Frez - Yeşil Kuşak (Kaba) İğne / İnce Konik Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d5c6c234-c750-4e07-9c19-646f1cc1b519/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-852,jota-852-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
116,35d30c26-ca04-4fd9-a3f5-137d112539f0,Jota 859 Elmas Frez - Mavi Kuşak (Standard) Uzun İğne Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/3af407cc-2044-4cd4-a278-8911b7831be2/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-859,jota-859-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
117,f7ff8876-e7f8-4e4b-bc27-d53e17d6f7a7,Jota 859F Elmas Frez - Kırmızı Kuşak (İnce) Uzun İğne Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/f6473db7-639c-4d50-beb1-47a721dcf49f/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-859,jota-859-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
118,03e1c613-c12b-4e6a-99e4-1c3851c17342,Jota 859G Elmas Frez - Yeşil Kuşak (Kaba) Uzun İğne Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/3e74137d-7a9d-4334-8aaf-ee300d03cf10/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-859,jota-859-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
119,875a83df-fc93-4013-a3c5-388312cf6c7a,Jota 863 Elmas Frez - Mavi Kuşak (Standard) Alev / Uzun Konik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/ebec88e1-be68-4b8a-8c35-2238debdb9e8/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-863,jota-863-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
120,b9bb40a9-22ee-442e-b191-3104d84f52ab,Jota 863EF Elmas Frez - Sarı Extra İnce Alev / Uzun Konik Elmas Frez,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/4c429dac-534a-4ae4-92cb-0364ac2a2429/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-863e,jota-863e-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
121,afbecf69-5412-451d-a5f3-9ff21c29a52c,Jota 863F Elmas Frez - Kırmızı Kuşak (İnce) Alev / Uzun Konik Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/51db6238-383e-4b9e-9625-1c8493006700/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-863,jota-863-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
122,53f66deb-a5e8-4fce-b40d-21c2384990b8,Jota 863SG Elmas Frez - Siyah Kuşak (Süper Kaba) Alev / Uzun Konik Agresif Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/8f72e634-4e70-4849-ad26-6a421bedc670/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-863,jota-863-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
123,991f8081-b88f-4a9c-87a7-2d3b422cf466,Jota 868 Elmas Frez - Mavi Kuşak (Standard) İnce Konik Genel Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/177fce80-e818-4308-a922-5d3544a5ef16/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-868,jota-868-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
124,6ddd0eea-cec0-4826-99d4-cc8a96cf9c5d,Jota 868F Elmas Frez - Kırmızı Kuşak (İnce) İnce Konik Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/c4b43780-4683-4ad7-a38c-0972ff8a5021/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-868,jota-868-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
125,3a80184a-87fa-48f3-ab16-d0374dcd3fde,Jota 868G Elmas Frez - Yeşil Kuşak (Kaba) İnce Konik Hızlı Preparasyon Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/a41eefbc-27e8-4b3d-8a8b-993abbc8c32e/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-868,jota-868-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
126,1d1303c8-9883-4cff-95df-c7f86ac1e18e,Jota 881 Elmas Frez - Mavi Kuşak (Standard) Silindirik Düz Uç Genel Preparasyon Frezi,0a41efde-3ce7-4a57-b1ae-f02c34f8cb8b,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/740c7ac2-487a-4c03-87b4-80b2fe8e21df/image_1950.webp,likely_non_transparent_or_white_canvas,jota-881,jota-881-blue-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, elmas-frezler; Remove white canvas/background and export transparent WebP"
127,1d1303c8-9883-4cff-95df-c7f86ac1e18e,Jota 881 Elmas Frez - Mavi Kuşak (Standard) Silindirik Düz Uç Genel Preparasyon Frezi,b698b0c5-ed1f-4076-a709-77ff6a861fd3,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/5be609c6-65f1-4c9f-8875-b045ca3b9912/image_1950.webp,likely_non_transparent_or_white_canvas,jota-881,jota-881-blue-elmas-frez.webp,"Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: 881, elmas-frezler; Remove white canvas/background and export transparent WebP"
128,65b9e28e-83e9-4603-bf73-89851ee6bf4b,Jota 889LF Elmas Frez - Kırmızı Kuşak (İnce) İnce Uçlu Uzun Form Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/8b16e8f4-c23d-4b54-bdd2-4f9609b25a67/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-889l,jota-889l-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
129,4616ea15-7442-4463-9e91-d4b81dbaa363,Jota 890F Elmas Frez - Kırmızı Kuşak (İnce) Alev / İnce Uçlu Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/cb123811-e365-49e3-8eca-4a72b22a7358/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-890,jota-890-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
130,05c6cc68-fc66-4d94-8390-53c9b4fc8f35,Jota 890LF Elmas Frez - Kırmızı Kuşak (İnce) Alev / İnce Uçlu Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/86263667-e3c9-41e1-a9ea-6f721a1f9786/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-890l,jota-890l-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
131,7b931d0e-2b83-4fa2-9ebb-4075e9421e82,Jota 895F Elmas Frez - Kırmızı Kuşak (İnce) Armut İnce Form Finishing Frezi,,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/e8b6a224-13ba-49ba-9ea9-03a1ad093eec/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-895,jota-895-family.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
132,bd26cf76-7321-4889-93bb-d4d7cbdda81f,Jota 558 Elmas Frez - Mavi Kuşak (Standard) Silindirik Uzun Genel Preparasyon Frezi,8c9e360d-b7e5-405f-8903-b650da6062fb,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d4bfd2ce-5031-4e11-b4cc-b0ace013c044/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-558,jota-558-blue-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP
133,0da0e71a-9791-4c9a-953f-55960f7e8d99,Jota 558F Elmas Frez - Kırmızı Kuşak (İnce) Silindirik Uzun Finishing Frezi,7bafaae5-92eb-4475-88d8-33e99842f775,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/fbddfb6b-f1f7-4e89-8b98-57f164dcb60f/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-558,jota-558-f-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP
134,f72c6590-f4d9-4eb7-9fdd-5efa26af1633,Jota 859EF Elmas Frez - Sarı Extra İnce Uzun İğne Elmas Frez,07d6cb8d-9950-4799-ba44-5607a9c0cc01,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/5a5fd8c5-2546-434a-b48b-47cbc650b25e/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-859e,jota-859e-f-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP
135,f72c6590-f4d9-4eb7-9fdd-5efa26af1633,Jota 859EF Elmas Frez - Sarı Extra İnce Uzun İğne Elmas Frez,fbadab18-8f43-48c2-87f5-328700915744,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/e3bef5bd-c39e-4efd-a673-1c07a0218d8b/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-859e,jota-859e-f-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP
136,c0e0bad7-7773-415f-8ca7-eff9a89245d3,Jota 859L Elmas Frez - Mavi Kuşak (Standard) Extra Uzun İğne Genel Preparasyon Frezi,69282611-9cbf-4f21-9a68-82993e7db19d,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/23c963cb-1bb4-484e-b27d-093a0a942fc7/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-859l,jota-859l-blue-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP
137,c0e0bad7-7773-415f-8ca7-eff9a89245d3,Jota 859L Elmas Frez - Mavi Kuşak (Standard) Extra Uzun İğne Genel Preparasyon Frezi,1731abc0-669e-4d96-a313-cc111fd8473d,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d9d8944f-df08-4b48-a04d-ace11ac9f374/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-859l,jota-859l-blue-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP
138,048929f4-ef88-42d1-88cf-f443727ee715,Jota 859LF Elmas Frez - Kırmızı Kuşak (İnce) Extra Uzun İğne Finishing Frezi,5b9ee31e-e718-462a-9489-d3b8b7ae67f7,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/4db2e4c9-0751-4c4c-8957-46a2ecabc6ef/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas,jota-859l,jota-859l-f-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP
139,f8d4fa41-358d-49d6-8779-635c4c5d4b3a,Jota 862 Elmas Frez - Mavi Kuşak (Standard) Konik Genel Preparasyon Frezi,01f010fd-c400-4bc7-a73c-360494577afe,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/dc402bb2-7c53-41db-a044-d84033cb9d86/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-862,jota-862-blue-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
140,f8d4fa41-358d-49d6-8779-635c4c5d4b3a,Jota 862 Elmas Frez - Mavi Kuşak (Standard) Konik Genel Preparasyon Frezi,900b4435-79b0-47b9-83fa-7f35111a7ea7,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/dc402bb2-7c53-41db-a044-d84033cb9d86/image_1950.webp,likely_non_transparent_or_white_canvas|duplicate_image_url,jota-862,jota-862-blue-elmas-frez.webp,Create one family-level transparent asset for grouped catalog cards; Prioritize for common search: elmas-frezler; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
141,32907d58-3393-4f01-bc51-9c1a065df163,Jota 601 Arkansas Ön Polisaj Frezi,d9baa2e4-cd47-44b4-ab54-29a27625d062,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/d2e441d1-ec82-40b7-a781-7560e2435d29/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-601-arkansas-on-polisaj-frezi,jota-601-asindirici-taslar.webp,Create one family-level transparent asset for grouped catalog cards; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
142,38d9fd53-0d40-407c-a331-fac38f98dce0,Jota 645 Arkansas Ön Polisaj Frezi,4b656bd4-44e2-4320-abe0-e92306a7494d,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/9ee12923-2bb3-41f6-b119-7f664b22e67f/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-645-arkansas-on-polisaj-frezi,jota-645-asindirici-taslar.webp,Create one family-level transparent asset for grouped catalog cards; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
143,f5329f42-9651-4e3e-bd56-a89af66cd7f1,Jota 661 Arkansas Ön Polisaj Frezi,da80deb2-5e61-4373-95b0-121b1ab43d39,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/40e1d61c-02d2-4bad-bddb-2a6cb5cfb9ce/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-661-arkansas-on-polisaj-frezi,jota-661-asindirici-taslar.webp,Create one family-level transparent asset for grouped catalog cards; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
144,c37346f7-b22c-4b02-a53d-3bb1b13ca8cd,Jota 666 Arkansas Ön Polisaj Frezi,64372a8c-1c25-415f-b793-22e2683d5420,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/af5281f0-aa49-46a4-9bc4-1aa10403b400/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-666-arkansas-on-polisaj-frezi,jota-666-asindirici-taslar.webp,Create one family-level transparent asset for grouped catalog cards; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
145,c2b7db8b-b3a3-4a67-8414-dcbc1845b157,Jota 9150 Universal Cilalama Ucu (Polisher),a7d94f2c-938d-4bf7-93eb-ce4563ff3c8d,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/4a039ac2-742a-4397-b589-3b9f7a2a1bd7/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-9150-universal-cilalama-ucu,jota-9150-cilalama-frezleri.webp,Create one family-level transparent asset for grouped catalog cards; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
146,57012510-e0a7-44fd-9740-0ac33908eb79,Jota 9805F Seramik Cilalama Ucu (Polisher) - Step 3,eb0530ba-03e1-450c-a38d-6c27d0dece4f,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/98f0bceb-23fe-47a0-920d-bdccba371335/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-9805-seramik-cilalama-ucu,jota-9805-f-cilalama-frezleri.webp,Create one family-level transparent asset for grouped catalog cards; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
147,3a132d25-9bad-4a13-b6ab-4f164ad14dc8,Jota 9805G Seramik Cilalama Ucu (Polisher) - Step 1,94be1dc0-3c41-47c2-86b5-bab8a5c9b7a0,,https://cdn.myikas.com/images/3c8ef622-7d91-4f41-82cb-1924f2f2d722/8ad3dc8a-bd46-4ba8-a6bc-859aadd138f5/image_1950.webp,likely_non_square_image|likely_non_transparent_or_white_canvas|duplicate_image_url,jota-9805-seramik-cilalama-ucu,jota-9805-g-cilalama-frezleri.webp,Create one family-level transparent asset for grouped catalog cards; Replace with centered 1:1 transparent WebP/PNG; Remove white canvas/background and export transparent WebP; Review shared URL; replace once if the image serves this family
